sku,slug,nome_original,titulo_seo,descricao_seo,marca,tipo_produto,preco,estoque,imagem,alertas
A21,armario-banheiro-a21-porta-correr-branco-astra,"Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra","Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra 28,4 cm 40,8 cm 9,5 cm","O Armário para Banheiro A21 Astra é uma solução prática e funcional para organizar itens de higiene pessoal, medicamentos, cosméticos e acessórios do dia a dia. Com design compacto e elegante na cor branca, possui porta de correr que otimiza o espaço e facilita o acesso aos objetos armazenados, sendo ideal para banheiros, lavabos e áreas de serviço. Fabricado em plástico de alta qualidade, oferece resistência à umidade e fácil limpeza, garantindo maior durabilidade mesmo em ambientes com contato frequente com água e vapor. Seu tamanho compacto permite instalação em diferentes ambientes, aproveitando melhor o espaço disponível sem comprometer a organização. Benefícios Porta de correr que economiza espaço. Ideal para banheiros pequenos e lavabos. Resistente à umidade e fácil de limpar. Design discreto e moderno. Organização prática para produtos de higiene e cuidados pessoais. Material durável e de fácil manutenção. Características Modelo: A21 Cor: Branco Tipo de abertura: Porta de correr Material: Plástico resistente Instalação prática e segura Uso indicado para ambientes internos Especificações Técnicas Marca: Astra Modelo: A21 Altura: 28,4 cm Largura: 40,8 cm Profundidade: 9,5 cm Cor: Branco Conteúdo da Embalagem 1 Armário para Banheiro Astra A21 Branco Kit para instalação (conforme fabricante) O Armário Banheiro Astra A21 combina praticidade, organização e durabilidade, sendo uma excelente opção para manter o ambiente mais funcional e organizado no dia a dia. Principais atributos: 5cm, 28,4 cm, 40,8 cm, 9,5 cm, branco, porta de correr. Marca Astra. Categoria: Banheiro. Uso relacionado: banheiro. Disponivel em estoque para venda online.",Astra,Banheiro,78.99,20,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/ae2d5f6bbe31a370cf379653bbc52f10.png,
A41*BR,armario-banheiro-com-espelho-a41-versatil-branco-astra,"Armário Banheiro Versátil Branco com Espelho A41 Astra","Armário Banheiro Versátil Branco com Espelho A41 Astra A41*BR","O Armário para Banheiro Versátil Branco com Espelho A41 Astra é a solução ideal para organizar seus itens de higiene e beleza, aproveitando melhor o espaço do banheiro com praticidade e elegância. Com design moderno e acabamento na cor branca, combina facilmente com diferentes estilos de decoração. Equipado com espelho integrado, oferece funcionalidade para a rotina diária, enquanto o compartimento interno auxilia na organização de medicamentos, cosméticos, escovas, cremes e outros acessórios de uso frequente. Sua estrutura é resistente à umidade do ambiente e foi desenvolvida para proporcionar durabilidade e fácil limpeza. Perfeito para quem busca mais organização sem abrir mão da estética, o armário Astra agrega praticidade ao ambiente e ajuda a manter o banheiro sempre arrumado. Características Marca: Astra Modelo: A41 Cor: Branco Possui espelho integrado Ideal para organização de itens de higiene pessoal Design funcional e moderno Fácil limpeza e manutenção Instalação em parede Excelente aproveitamento de espaço Benefícios Mantém os objetos organizados e protegidos Facilita a rotina diária com espelho integrado Visual clean que combina com diversos ambientes Solução prática para banheiros de diferentes tamanhos Conteúdo da embalagem 1 Armário para Banheiro Versátil Branco com Espelho A41 Astra Indicação de usoIdeal para banheiros, lavabos e áreas de higiene, auxiliando na organização de produtos de uso diário e contribuindo para um ambiente mais funcional e agradável. Principais atributos: branco, com espelho. Marca Astra. Categoria: Banheiro. Uso relacionado: banheiro, pet. Disponivel em estoque para venda online.",Astra,Banheiro,129.00,6,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/2f8c49c91c5443574d8795439859c7ec.png,
RGCT50-6,rodizio-gel-trava-cristal-50mm-6un-soprano,"Rodizio em Gel C/Trava Cristal 50mm 6 UN Soprano","Rodízios Rodizio em Gel C/Trava Cristal 50mm 6 UN Soprano RGCT50-6","Rodízio em Gel com Trava Cristal 50mm – Mobilidade e Estilo para seus Móveis Descrição Geral: Transforme a funcionalidade dos seus móveis com o Rodízio em Gel com Trava Cristal 50mm. Com design transparente e construção durável, este conjunto é ideal para quem busca mobilidade eficiente sem abrir mão da elegância. Características Destacadas:   Principais atributos: 50mm. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,54.50,170,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/3d81b5a40dc3f5b69ace0318ef2e1ee9.jpg,
RG50-4,kit-4-rodizios-50mm-gel-2-com-trava-2-sem-trava,"Kit 4 rodízios 50mm em gel 2 com trava e 2 sem trava","Vivaliz Kit 4 rodízios 50mm em gel 2 com trava e 2 sem trava RG50-4","Este conjunto de rodízios para móveis oferece uma solução prática e funcional para adicionar mobilidade aos seus móveis. Cada rodízio possui 50mm de diâmetro e é fabricado em gel, garantindo deslocamento suave e silencioso sobre diferentes tipos de piso. O conjunto completo inclui 4 rodízios, sendo 2 unidades equipadas com trava para proporcionar estabilidade quando necessário, e 2 unidades sem trava para facilitar a movimentação livre. O acabamento cromado confere um visual moderno e sofisticado, enquanto as rodas transparentes permitem integração harmoniosa com diversos estilos de decoração. Ideal para cadeiras, mesas, estantes e outros móveis que necessitam de mobilidade ocasional ou frequente, estes rodízios combinam funcionalidade e estética para melhorar a praticidade do seu ambiente. Principais atributos: 50mm. Categoria: Rodízios. Uso relacionado: rodizio, pet, com freio, silicone gel. Disponivel em estoque para venda online.",Vivaliz,Rodízios,45.00,230,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/bbcf14d7188c3ad7cc8f197ceb1d8a19.jpg,
SKU-342902474,soprano-kit-4-rodizios-moveis-gel-2-freio-2-sem-75mm,"Soprano, Kit 4 Rodízios Móveis Gel, 2 Freio e 2 sem  75mm","Soprano, Kit 4 Rodízios Móveis Gel, 2 Freio e 2 sem 75mm com freio sem freio SKU-342902474","Este kit de rodízios Soprano oferece a solução perfeita para adicionar mobilidade aos seus móveis. O conjunto inclui 4 rodízios de 75mm de diâmetro, sendo 2 equipados com freio e 2 sem freio, proporcionando controle total sobre o movimento dos seus móveis. Os rodízios de silicone com base giratória facilitam a movimentação suave em diferentes direções, tornando a limpeza mais prática e protegendo o piso do contato direto. A base giratória permite rotação completa, oferecendo máxima manobrabilidade em espaços reduzidos. Ideais para diversos tipos de móveis, estes rodízios combinam funcionalidade e praticidade no dia a dia. O kit é perfeito para quem busca facilitar a reorganização de ambientes e a manutenção da limpeza. Observe que os parafusos para fixação não estão inclusos no kit, permitindo que você escolha os mais adequados para o seu móvel específico. Principais atributos: 75mm, com freio, sem freio. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,78.00,4,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/23130748ff302d23fb019cb080212e07.jpg,
1C7Q-LKVS-MQQN,rodizio-gel-giratorio-sem-freio-75mm-rolamento-soprano,"Rodizio de Gel Giratório Sem Freio 75mm Rolamento Soprano","Rodízios Rodizio de Gel Giratório Sem Freio 75mm Rolamento Soprano 1C7Q-LKVS-MQQN","Rodízio Giratório Profissional: Rodízio de gel com rotação de 360 graus que proporciona mobilidade suave e multidirecional para móveis, carrinhos e equipamentos que necessitam de movimentação ágil em todas as direções Principais atributos: 75mm, sem freio, giratório. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,34.90,9,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/fa6f9663269162049533f344fc291784.jpg,
1C7Q-LKVS-MDOC,rodizio-gel-giratorio-freio-75mm-rolamento-soprano,"Rodizio de Gel Giratório com Freio 75mm Rolamento Soprano","Rodízios Rodizio de Gel Giratório com Freio 75mm Rolamento Soprano 1C7Q-LKVS-MDOC","Rodízio Giratório Profissional: Rodízio de gel com capacidade de rotação 360 graus, proporcionando mobilidade suave e multidirecional para seus móveis, carrinhos ou equipamentos, facilitando o deslocamento em qualquer direção necessária Principais atributos: 75mm, com freio, giratório. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,38.90,15,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/2f5b3e37a4fc5183a4857738c3cb57d1.jpg,
1C7Q-LKUU-0BA3,rodizio-transparente-035mm-freio-chapa-giratoria-soprano,"Rodízio Transparente 035mm Freio Chapa Giratória Soprano","Rodízios Rodízio Transparente 035mm Freio Chapa Giratória Soprano 700 mm 1C7Q-LKUU-0BA3","Caractersticastcnicas:Rodas em poliuretano transparente;Eixo e sistema de fixao em ao SAE 1020;Carga esttica para cada tamanho de rodzio conforme tabelaacima.Caractersticas deaplicao: recomendado somente para uso interno. Para uso externodeve-se consultar o departamento tcnico;Evitar exposio direta radiao ultravioleta;Recomenda-se lubrificao peridica das partes articuladas;Quando aplicado em chapas de madeira, o espaamento entre osrodzios ou niveladores no deve ser maior do que 700 mm;Quanto maior o dimetro da roda, mais fcil a transposiode obstculos e o deslocamento do rodzio;Posicionar corretamente quando aplicado, deixando-o bemalinhado com o mvel. Clculo para definio do tamanho do rodzio: CR= (T + C) x Fs _____ N CR = Carga por roda (rodzio)T = Tara (peso prprio do equipamento sem carga)C = Carga que o equipamento deve suportarN = Nmero de rodzios aplicadosFs = Fator de segurana (expressa a variao das condiesde aplicao) Principais atributos: 035mm, 700 mm. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio. Disponivel em estoque para venda online.",Soprano,Rodízios,19.90,481,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/fe23ff5211669916f42c5b6153b770bc.jpg,
1C7Q-LKUT-YLKI,rodizio-transparente-035mm-sem-freio-chapa-giratoria-soprano,"Rodízio Transparente 035mm Sem Freio Chapa Giratória Soprano","Rodízios Rodízio Transparente 035mm Sem Freio Chapa Giratória Soprano 24,4mm 50mm 1C7Q-LKUT-YLKI","Rodizio Gel 35mm Sem Freio Soprano - DESCRIO: A linha de Rodzios Gel da Soprano consagrada como a mais vendida do Brasil. A versatilidade e flexibilidade proporcionam uma movimentao suave dos mveis. As rodas so injetadas em policarbonato e revestidas em poliuretano o que permite um acabamento perfeito e uma rodagem macia. - Os rodzios so de fcil instalao, a principal dica o posicionamento correto na hora da aplicao, deixando-os bem alinhados com o mvel. Alm disso, antes de instalar os rodzios, necessrio estimar o peso do mvel, mais a carga que ele suportar, definindo assim o tamanho correto do rodzio para cada aplicao CARACTERSTICAS: - Dimetro: 35mm - Largura: 24,4mm - Altura: 50mm - Centro: 34,5mm - Carga: 35Kg - Marca: Soprano - Rodzio Transparente 0,35mm Sem Freio Chapa Giratria Nquel - Rodas em poliuretano transparente - Eixo e sistema de fixao em ao Sae 1020 - Carga esttica para cada tamanho de rodzio Caractersticas de aplicao: - recomendado somente para uso interno. - Recomenda-se lubrificao peridica das partes articuladas; - Quando aplicado em chapas de madeira, o espaamento entre os rodzios ou niveladores no deve ser maior do que 700 mm; - Quanto maior o dimetro da roda, mais fcil a transposio de obstculos e o deslocamento do rodzio; - Posicionar corretamente quando aplicado, deixando-o bem alinhado com o mvel. CONTEDO: 1 Unidade. Caractersticas Gerais do Produto: Garantia: 90 Dias de Fabricante Principais atributos: 035mm, 35mm, 24,4mm, 50mm, 34,5mm, 35kg, 0,35mm, 700 mm. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,19.90,296,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/fca5312c9f775715ef616d0331a7605c.jpg,
1C7Q-LKV1-WBFF,kit-5-rodizios-gel-35mm-giratoria-silicone-trava-soprano,"Kit com 5 Rodizios Gel 35mm Giratoria Silicone trava Soprano","Rodízios Kit com 5 Rodizios Gel 35mm Giratoria Silicone trava Soprano 1C7Q-LKV1-WBFF","Kit com 5 Rodízios de Gel de Silicone 35mm com Trava – Mobilidade Segura e Prática para seus Móveis Descrição Geral: Transforme a funcionalidade dos seus móveis com o Kit de 5 Rodízios de Gel de Silicone 35mm com Trava. Ideal para móveis pequenos e médios, este conjunto oferece mobilidade suave, proteção ao piso e segurança em cada movimento. Características Destacadas:   Principais atributos: 35mm. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,42.98,96,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/df8d72efc230f81614a3608ab2119796.jpg,
CONJ-10-RODIZIOS-35MM-GEL,kit-10-rodizio-35mm-giratorio-freio-gel-anti-risco,"10x Rodízio 35mm Giratório com Freio Gel Anti-Risco Soprano","Rodízios 10x Rodízio 35mm Giratório com Freio Gel Anti-Risco Soprano 35 mm CONJ-10-RODIZIOS-35MM-GEL","Kit com 10 rodízios giratórios de 35 mm com freio em gel transparente anti-risco da marca Soprano. Ideal para cadeiras de escritório, móveis pesados e equipamentos que precisam de mobilidade suave e silenciosa. ✅ Rodízios de alta qualidade com gel macio✅ Sistema de freio individual por unidade✅ Não arranha pisos✅ Fácil instalação Principais atributos: 35mm, 35 mm, com freio, giratório. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,77.98,48,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/b74b04304e8bce6070372363aa868b21.jpg,
1C7Q-LKVY-UH7N,chave-soquete-tipo-t-10mm-hexagonal-25cm-aquatools,"Chave Soquete Tipo T 10mm Hexagonal 25cm Aquatools","Chaves e Soquetes Chave Soquete Tipo T 10mm Hexagonal 25cm Aquatools 1C7Q-LKVY-UH7N","Chave Soquete Tipo T 10mm Aqua Tools – Precisão, Resistência e Conforto em Cada Giro Descrição Geral: Esteja sempre preparado para qualquer tarefa com a Chave Soquete Tipo T 10mm da Aqua Tools. Ideal para profissionais e entusiastas, esta ferramenta combina eficiência, durabilidade e praticidade em um design compacto e funcional. Características Destacadas:   Principais atributos: 10mm, 25cm. Marca Aquatools. Categoria: Chaves e Soquetes. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Aquatools,"Chaves e Soquetes",37.70,2,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/a179557acd5de17b1348aa4cef5ec8f1.jpg,
1C7Q-LKVY-TGBG,chave-soquete-tipo-t-13mm-aquatools,"Chave Soquete Tipo T 13mm Aquatools","Chaves e Soquetes Chave Soquete Tipo T 13mm Aquatools 13 mm 1C7Q-LKVY-TGBG","Chave Soquete Tipo T 13mm Aquatools A Chave Soquete Tipo T 13mm Aquatools a ferramenta ideal para apertar e soltar porcas e parafusos sextavados com praticidade e eficincia. Seu formato em T proporciona maior alavancagem e conforto durante o uso, permitindo a aplicao de torque com menos esforo. Fabricada com materiais de alta resistncia, oferece durabilidade e desempenho para trabalhos de manuteno, montagem e reparos em oficinas, indstrias, propriedades rurais e uso domstico. O acabamento de qualidade garante maior vida til e resistncia ao desgaste provocado pelo uso frequente. Compacta e fcil de manusear, uma ferramenta indispensvel para profissionais e usurios que buscam preciso e confiabilidade em suas atividades. Caractersticas Modelo: Chave Soquete Tipo T Medida: 13 mm Marca: Aquatools Formato ergonmico para maior conforto Proporciona excelente transmisso de torque Alta resistncia e durabilidade Indicada para uso profissional e domstico Aplicaes Montagem e desmontagem de equipamentos Manuteno automotiva Reparos mecnicos Servios industriais e agrcolas Uso geral em oficinas e residncias Contedo da embalagem: 1 Chave Soquete Tipo T 13mm Aquatools Imagem meramente ilustrativa. Verifique as especificaes do produto antes da compra. Principais atributos: 13mm, 13 mm. Marca Aquatools. Categoria: Chaves e Soquetes. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Aquatools,"Chaves e Soquetes",35.00,3,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/6c0a3e3e63e9cd365ac8405611eba821.jpg,
Sulfatoonsite,sulfato-aluminio-ultraclor-2kg,"Sulfato de Alumínio Ultraclor 2kg","Vivaliz Ferramentas Manuais Sulfato de Alumínio Ultraclor 2kg Sulfatoonsite","Somos A Secob Bombas, uma empresa com mais de 10 anos de atividade no mercado, especializados na venda, reparo e instalações de bombas, filtros, saunas e aquecedores de piscina, procuramos sempre dar a melhor experiência de compra para que você possa curtir o seu lazer! Produto: Sulfato Alumínio Decantador Clarificante Limpa Piscinas 2kg O Sulfato De Alumínio Ultraclor 2Kg é ideal para aquele momento que a piscina está com poeira ou com flocos de sujeira emergido. O Sulfato De Alumínio é capaz de decantar essas sujeiras para que sejam posteriormente aspiradas. Em algumas situações o sulfato de alumínio também é utilizado para reduzir o pH da água. Principais atributos: 2kg. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Vivaliz,"Ferramentas Manuais",24.90,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/48f6c0163615d928df50099e20f43e08.jpg,
PAPELEIRA-ADESIVA-ASTRA-BRANCA,papeleira-com-adesivo-branca-astra,"Papeleira com Adesivo Branca Astra","Ferramentas Manuais Papeleira com Adesivo Branca Astra PAPELEIRA-ADESIVA-ASTRA-BRANCA","Papeleira com Adesivo Branca Astra é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Astra   SKU: PAPELEIRA-ADESIVA-ASTRA-BRANCA   Categoria: Acessórios para Banhos Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Marca Astra. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Astra,"Ferramentas Manuais",55.00,2,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/2adc67b1651e5e79be6469c55c52d0aa.jpg,
C17S,caixa-descarga-branca-elevada-regulavel-9l-astra,"Caixa Descarga Branca Elevada Regulável 9L Astra","Ferramentas Manuais Caixa Descarga Branca Elevada Regulável 9L Astra 6,8l 9 litros 13,7 cm C17S","Caixa de Descarga Elevada com Volume Regulvel de 6,8L a 9L Astra Branco Descrio do Produto A Caixa Elevada um sistema de descarga com volume regulvel, de 6,8 a 9 litros. A regulagem interna permite uma descarga controlada por meio do acionamento com cordinha, que pode ser interrompido pelo usurio a qualquer momento, conforme a necessidade de limpeza da loua. A pea nica e no apresenta conexes, proporcionando alta durabilidade. Caractersticas Fabricada em plstico resistente Fcil de instalar: acompanha rgua suporte e parafusos para fixao. Dupla entrada para engate de gua (nas laterais do produto), permite escolher a posio lateral de acionamento (direito ou esquerdo). Vedante em silicone, que assegura maior estanqueidade e durabilidade. Recomendaes de uso Evitar produtos abrasivos na limpeza. DIMENSO DO PRODUTO 37,08 x 33,86 x 13,7 cm A Caixa Elevada compatvel com bacias sanitrias convencionais, promovendo a limpeza completa dos dejetos e seu encaminhamento para a rede de esgoto. Ideal para banheiros com bacia sanitria convencional (sem caixa acoplada). Principais atributos: 9l, 6,8l, 9 litros, 13,7 cm, branco. Marca Astra. Categoria: Ferramentas Manuais. Uso relacionado: rodizio, banheiro, ferramenta, silicone gel. Disponivel em estoque para venda online.",Astra,"Ferramentas Manuais",69.00,48,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/5a7061e1d322b349658732132326da41.jpg,
07VM,caixa-ferramentas-sanfonada-5-gavetas-vermelha-n07-fercar,"Caixa Ferramentas Sanfonada 5 Gavetas Vermelha 50x20x21cm N07 Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 5 Gavetas Vermelha 50x20x21cm N07 Fercar 07VM","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",329.00,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/4c6611de7c45275b1b687d6ba3cef2b3.jpg,
1C7Q-LKVM-XFLJ,trena-profissional-emborrachada-7-5mx25mm-team-75-aquatools,"Trena Profissional Emborrachada 7,5mx25mm Team-75 Aquatools","Medição Trena Profissional Emborrachada 7,5mx25mm Team-75 Aquatools 25 mm 1C7Q-LKVM-XFLJ","Trena Profissional Emborrachada 7,5mx25mm Team-75 Aquatools é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Aquatools   SKU: 1C7Q-LKVM-XFLJ   Medida: 25 mm   Categoria: Trenas Métricas Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 25 mm. Marca Aquatools. Categoria: Medição. Disponivel em estoque para venda online.",Aquatools,Medição,34.90,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/d1130aa7a34fa219a10d18d498ab5bd4.jpg,
KIT-4-RODIZIOS-GEL-35MM-SOPRANO,kit-4-rodizios-gel-giratorio-sem-freio-35mm-soprano,"Kit 4 Rodízios Gel Giratório Sem Freio 1,3/8 35 mm Soprano","Kit 4 Rodízios Gel Giratório Sem Freio 1,3/8 35 mm Soprano 35mm KIT-4-RODIZIOS-GEL-35MM-SOPRANO","Composto por 4 rodízios de 35mm sem trava. Principais atributos: 35 mm, 35mm, sem freio, giratório. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,49.00,74,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/d9a7a34d95ba62048f3661726385d58c.jpg,
08R,caixa-ferramentas-sanfonada-5-gavetas-reforcada-08r-fercar,"Caixa Ferramentas Sanfonada 5 Gavetas Reforç 50x20x21cm 08R Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 5 Gavetas Reforç 50x20x21cm 08R Fercar","A caixa sanfonada Fercar é a escolha definitiva para profissionais e entusiastas que buscam organização e resistência. Fabricada em chapa de aço de alta qualidade com pintura eletrostática, ela protege suas ferramentas contra corrosão e impactos. Seu sistema articulado suave permite visualizar todo o conteúdo de uma só vez, facilitando o acesso rápido a itens de diferentes tamanhos. Possui alça reforçada e porta-cadeado para maior segurança no transporte e armazenamento. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",269.79,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/7e4e48e34aee6640663aedd7ea28d01e.jpg,
CS-10,caixa-ferramentas-sanfonada-5-gavetas-roda-cs-10-fercar,"Caixa Ferramentas Sanfonada 5 Gavetas Roda 50x20x21cm CS-10 Fercar","Ferramentas Manuais Caixa Ferramentas Sanfonada 5 Gavetas Roda 50x20x21cm CS-10 Fercar","A Caixa de Ferramentas Sanfonada CS-10 Fercar foi desenvolvida para quem precisa de alta capacidade de armazenamento, mobilidade e organizao profissional. Com estrutura metlica reforada e acabamento resistente, ideal para uso intenso em oficinas, indstrias e tambm para quem exige praticidade no dia a dia. Com 5 gavetas articuladas no sistema sanfonado, proporciona abertura ampla e acesso rpido a todos os compartimentos, facilitando a visualizao e separao das ferramentas. Suas dimenses de 50x20x21 cm garantem excelente espao interno, permitindo armazenar desde ferramentas manuais at diversos acessrios e peas. O grande diferencial deste modelo a presena de rodas integradas, que facilitam o transporte mesmo quando a caixa est totalmente carregada, reduzindo esforo e aumentando a produtividade. A ala reforada complementa a ergonomia, oferecendo mais segurana no manuseio. Diferenciais: Estrutura metlica robusta e durvel Sistema sanfonado com 5 gavetas espaosas Rodas que facilitam o transporte Pintura resistente contra desgaste e corroso Amplo espao interno para melhor organizao Ala ergonmica reforada Indicada para mecnicos, eletricistas, tcnicos e profissionais em geral, a CS-10 Fercar combina resistncia, praticidade e excelente capacidade de organizao uma soluo completa para manter suas ferramentas sempre protegidas e acessveis. Marca Fercar. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Disponivel em estoque para venda online.",Fercar,"Ferramentas Manuais",349.00,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/fb89d32ced800398c33308c7ff116fb3.jpg,
1C7Q-LKVM-XZ7J,enerbras-resistencia-enerducha-up-5500w-127v,"Enerbras Resistência Enerducha UP 5500W 127V","Vivaliz Ferramentas Manuais Enerbras Resistência Enerducha UP 5500W 127V 1C7Q-LKVM-XZ7J","A Enerducha UP 5500W da Enerbras uma ducha eltrica projetada para oferecer um banho confortvel e eficiente, sendo ideal para banheiros compactos devido ao seu design moderno e dimenses reduzidas. Ela se destaca pela tecnologia de dupla cmara de aquecimento, que aumenta a eficincia energtica e a segurana durante o uso Categoria: Ferramentas Manuais. Uso relacionado: banheiro, ferramenta. Disponivel em estoque para venda online.",Vivaliz,"Ferramentas Manuais",35.90,1,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/8fcce71faa75370fb02cfa480ab32226.jpg,
1C7Q-LKWA-VQGQ,vaso-unique-chumbo-n12-japi,"VASO Unique Chumbo N12 Japi","Vasos Decorativos VASO Unique Chumbo N12 Japi 1C7Q-LKWA-VQGQ","O formato clássico combinado com o capricho de acabamento da Japi resulta nonosso cachepô Unique. Com um ótimo custo x benefício e uma paleta de coresdiversificada, a linha Unique é uma ótima opção para decorar o seu ambiente deuma maneira única. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",19.11,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/f4312633dc2cf6d8ba3d9aa777a155d8.jpg,
1C7Q-LKW4-FI2Y,vaso-unique-rosa-n16-japi,"VASO Unique ROSA N16 Japi","Vasos Decorativos VASO Unique ROSA N16 Japi 1C7Q-LKW4-FI2Y","O formato clássico combinado com o capricho de acabamento da Japi resulta nonosso cachepô Unique. Com um ótimo custo x benefício e uma paleta de coresdiversificada, a linha Unique é uma ótima opção para decorar o seu ambiente deuma maneira única. Produto com proteção aos raios UV para ficar exposto as intempéries. Qualidade Japi Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",21.49,4,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/3023acaebd5317c9b72a2725e54726a1.jpg,
1C7Q-LKW4-FC3O,vaso-unique-azul-n12-japi,"VASO Unique AZUL N12 Japi","Vasos Decorativos VASO Unique AZUL N12 Japi 1C7Q-LKW4-FC3O","O formato clássico combinado com o capricho de acabamento da Japi resulta nonosso cachepô Unique. Com um ótimo custo x benefício e uma paleta de coresdiversificada, a linha Unique é uma ótima opção para decorar o seu ambiente deuma maneira única. Principais atributos: azul. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",19.40,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/aee0d25db6ae5200518446b54c558600.jpg,
